unit,landuse,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
KM2,L0008,NO04	23579.0 	23579.0 	23579.0 	23579.0 	23664.0 	23664.0 	23664.0 	23664.0 	23580.0 	23582.3 	23583.0 	23583.0 
KM2,L0008,NO05	46821.0 	46821.0 	46821.0 	46821.0 	46877.0 	46877.0 	46877.0 	46877.0 	46784.0 	46767.2 	46763.0 	46763.0 
KM2,L0008,NO06	38607.0 	38607.0 	38607.0 	38607.0 	38790.0 	38790.0 	38790.0 	38790.0 	38618.0 	38611.9 	38612.0 	38612.0 
KM2,L0008,NO07	106715.0 	106715.0 	106715.0 	106715.0 	107128.0 	107128.0 	107128.0 	107128.0 	106708.0 	106722.1 	106712.0 	106712.0 
KM2,L0008,PL11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18107.0 	18107.0 
KM2,L0008,PL12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35139.0 	35139.0 
KM2,L0008,PL21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15031.0 	15031.0 
KM2,L0008,PL22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12153.0 	12153.0 
KM2,L0008,PL31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24934.0 	24934.0 
KM2,L0008,PL32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17640.0 	17640.0 
KM2,L0008,PL33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11624.0 	11624.0 
KM2,L0008,PL34	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19911.0 	19911.0 
KM2,L0008,PL41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29490.0 	29490.0 
KM2,L0008,PL42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21849.0 	21849.0 
KM2,L0008,PL43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13804.0 	13804.0 
KM2,L0008,PL51	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19771.0 	19771.0 
KM2,L0008,PL52	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9313.0 	9313.0 
KM2,L0008,PL61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17576.0 	17576.0 
KM2,L0008,PL62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22953.0 	22953.0 
KM2,L0008,PL63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17692.0 	17692.0 
KM2,L0008,RO11	33649.0 	33649.0 	33650.5 	33649.6 	33654.0 	33658.6 	33672.4 	33665.9 	33675.2 	33683.0 	33690.0 	33690.0 
KM2,L0008,RO12	33769.0 	33775.0 	33767.3 	33785.1 	33783.0 	33778.8 	33782.3 	33779.8 	33772.3 	33781.0 	33775.0 	33775.0 
KM2,L0008,RO21	36133.0 	36135.0 	36134.5 	36115.5 	36112.0 	36113.5 	36113.0 	36116.6 	36116.3 	36116.0 	36120.0 	36120.0 
KM2,L0008,RO22	31173.0 	31187.0 	31172.9 	31168.8 	31088.0 	31088.8 	31214.4 	31214.4 	31195.7 	31164.0 	31194.0 	31194.0 
KM2,L0008,RO31	33409.0 	33432.0 	33433.2 	33433.8 	33436.0 	33439.8 	33439.2 	33461.4 	33461.3 	33460.0 	33473.0 	33473.0 
KM2,L0008,RO32	1757.0 	1757.0 	1757.4 	1758.8 	1759.0 	1759.0 	1759.2 	1759.2 	1758.4 	1759.0 	1761.0 	1761.0 
KM2,L0008,RO41	28484.0 	28485.0 	28482.1 	28482.0 	28478.0 	28478.8 	28482.1 	28464.3 	28583.5 	28464.0 	28468.0 	28468.0 
KM2,L0008,RO42	31580.0 	31580.0 	31578.8 	31579.5 	31581.0 	31580.1 	31596.0 	31593.0 	31601.0 	31596.0 	31594.0 	31594.0 
KM2,L0008,SE11	6519.3 	6519.0 	6519.3 	6519.3 	6519.3 	6519.3 	6519.3 	6519.3 	6526.2 b	6526.2 	6526.0 	6526.0 
KM2,L0008,SE12	38607.4 	38607.4 	38607.4 	38607.4 	38607.3 	38607.3 	38607.3 	38607.3 	38434.8 b	38434.8 	38435.0 	38435.0 
KM2,L0008,SE21	33333.2 	33333.0 	33333.2 	33333.1 	33333.1 	33333.1 	33333.1 	33333.1 	33162.2 b	33162.2 	33162.0 	33162.0 
KM2,L0008,SE22	13982.1 	13982.0 	13982.1 	13982.1 	13982.1 	13982.1 	13982.1 	13982.1 	13900.1 b	13900.1 	13900.0 	13900.0 
KM2,L0008,SE23	29417.7 	29418.0 	29417.7 	29417.7 	29417.7 	29417.7 	29417.7 	29417.7 	29224.7 b	29224.7 	29225.0 	29225.0 
KM2,L0008,SE31	63987.0 	63987.0 	63987.0 	63988.3 	63988.3 	63988.3 	63988.3 	63988.3 	63666.1 b	63666.1 	63666.0 	63666.0 
KM2,L0008,SE32	71027.6 	71028.0 	71027.6 	71027.6 	71027.6 	71027.6 	71027.6 	71027.6 	70496.5 b	70496.5 	70497.0 	70497.0 
KM2,L0008,SE33	153438.7 	153439.0 	153438.7 	153438.7 	153438.7 	153438.7 	153438.7 	153438.7 	151929.0 b	151929.0 	151929.0 	151929.0 
KM2,L0008,SI03	12335.0 	12335.0 	12335.0 	12335.0 	12333.5 	12333.5 	12333.5 	12333.5 	12333.5 	12333.5 	12333.5 	12333.5 
KM2,L0008,SI04	7805.0 	7805.0 	7805.0 	7805.0 	7811.3 	7811.3 	7811.3 	7811.3 	7811.3 	7811.3 	7811.3 	7811.3 
KM2,L0008,SK01	2052.0 	2052.0 	2052.6 	2052.6 	2053.0 	2052.7 	2052.6 	2052.5 	2053.0 	2053.0 	: 	: 
KM2,L0008,SK02	14993.0 	14993.0 	14992.4 	14992.5 	14993.0 	14992.7 	14992.6 	14992.4 	14992.0 	14992.0 	: 	: 
KM2,L0008,SK03	16256.0 	16256.0 	16261.6 	16263.2 	16263.0 	16263.2 	16263.2 	16263.1 	16263.0 	16263.0 	: 	: 
KM2,L0008,SK04	15733.0 	15733.0 	15727.1 	15726.4 	15726.0 	15728.3 	15728.8 	15728.4 	15728.0 	15728.0 	: 	: 
KM2,L0008,TR10	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.0 	5196.0 
KM2,L0008,TR21	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18665.0 	18665.0 
KM2,L0008,TR22	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.0 	24232.0 
